"Travel motives","Population","Travel modes","Margins","Region characteristics","Periods","Average per person per day Trips (number)","Distance travelled (passenger kilometres )","Average per person per year Trips (number)","Distance travelled (passenger kilometres )"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","The Netherlands","2023","0.44","7.98","159","2,912"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2018","0.57","11.01","208","4,018"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2019","0.51","11.38","187","4,153"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2020","0.35","6.52","127","2,385"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2021","0.35","6.44","127","2,350"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2022","0.39","7.35","142","2,683"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2023","0.42","8.25","152","3,013"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2018","0.27","6.79","99","2,477"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2019","0.25","6.20","90","2,263"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2020","0.19","4.37","70","1,601"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2021","0.19","4.33","69","1,580"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2022","0.21","4.90","75","1,790"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2023","0.21","5.24","78","1,913"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2018","0.25","6.66","92","2,431"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2019","0.24","7.18","88","2,622"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2020","0.17","4.49","63","1,644"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2021","0.17","4.35","62","1,587"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2022","0.18","4.59","66","1,675"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2023","0.19","5.12","69","1,867"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2018","0.03","1.33","12","485"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2019","0.03","1.35","12","491"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2020","0.01","0.50","5","182"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2021","0.01","0.36","4","133"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2022","0.02","0.71","6","261"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2023","0.02","1.04","9","379"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2018","0.05","1.93","19","704"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2019","0.06","2.26","21","826"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2020","0.02","0.75","8","274"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2021","0.02","0.66","7","239"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2022","0.03","1.11","10","406"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2023","0.04","1.49","14","543"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2018","0.14","0.68","52","247"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2019","0.13","0.65","49","237"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2020","0.10","0.44","36","160"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2021","0.10","0.45","37","163"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2022","0.12","0.55","43","202"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2023","0.12","0.57","44","208"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2018","0.17","0.91","63","332"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2019","0.15","0.81","53","295"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2020","0.10","0.48","38","176"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2021","0.10","0.51","37","185"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2022","0.12","0.58","43","213"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2023","0.12","0.70","45","254"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2018","0.02","0.06","9","22"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2019","0.02","0.06","8","22"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2020","0.02","0.03","6","11"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2021","0.02","0.03","7","11"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2022","0.02","0.04","8","15"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2023","0.02","0.05","8","18"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2018","0.02","0.06","9","23"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2019",".",".",".","."
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2020","0.01","0.03","5","11"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2021","0.01","0.03","5","12"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2022","0.02","0.04","7","15"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2023","0.02","0.05","7","20"
"Professionally","Population 6 years or older","Total","Value","The Netherlands","2018","0.07","2.20","25","802"
"Professionally","Population 6 years or older","Total","Value","The Netherlands","2019","0.11","3.27","39","1,195"
"Professionally","Population 6 years or older","Total","Value","The Netherlands","2020","0.07","1.85","26","677"
"Professionally","Population 6 years or older","Total","Value","The Netherlands","2021","0.08","1.93","28","705"
"Professionally","Population 6 years or older","Total","Value","The Netherlands","2022","0.08","2.08","30","759"
"Professionally","Population 6 years or older","Total","Value","The Netherlands","2023","0.09","2.25","31","821"
"Professionally","Population 6 years or older","Total","Value","Utrecht (PV)","2018","0.07","2.22","24","809"
"Professionally","Population 6 years or older","Total","Value","Utrecht (PV)","2019","0.12","4.25","43","1,551"
"Professionally","Population 6 years or older","Total","Value","Utrecht (PV)","2020","0.07","2.15","27","788"
"Professionally","Population 6 years or older","Total","Value","Utrecht (PV)","2021","0.07","1.64","24","599"
"Professionally","Population 6 years or older","Total","Value","Utrecht (PV)","2022","0.08","2.17","29","791"
"Professionally","Population 6 years or older","Total","Value","Utrecht (PV)","2023","0.08","2.60","30","947"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2018","0.04","1.40","14","510"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2019","0.06","2.15","21","786"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2020","0.04","1.17","14","429"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2021","0.04","1.18","15","430"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2022","0.04","1.28","15","467"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2023","0.05","1.48","17","539"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2018","0.04","1.67","14","611"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2019","0.06","2.84","23","1,037"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2020","0.04","1.36","15","498"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2021","0.04","1.15","14","421"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2022","0.04","1.36","15","497"
"Professionally","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2023","0.05","1.76","17","642"
"Professionally","Population 6 years or older","Train","Value","The Netherlands","2018","0.00","0.20","1","71"
"Professionally","Population 6 years or older","Train","Value","The Netherlands","2019","0.00","0.21","1","76"
"Professionally","Population 6 years or older","Train","Value","The Netherlands","2020","0.00","0.09","0","31"
"Professionally","Population 6 years or older","Train","Value","The Netherlands","2021","0.00","0.07","0","26"
"Professionally","Population 6 years or older","Train","Value","The Netherlands","2022","0.00","0.14","1","52"
"Professionally","Population 6 years or older","Train","Value","The Netherlands","2023","0.00","0.17","1","61"
"Professionally","Population 6 years or older","Train","Value","Utrecht (PV)","2018",".",".",".","."
"Professionally","Population 6 years or older","Train","Value","Utrecht (PV)","2019",".",".",".","."
"Professionally","Population 6 years or older","Train","Value","Utrecht (PV)","2020",".",".",".","."
"Professionally","Population 6 years or older","Train","Value","Utrecht (PV)","2021",".",".",".","."
"Professionally","Population 6 years or older","Train","Value","Utrecht (PV)","2022",".",".",".","."
"Professionally","Population 6 years or older","Train","Value","Utrecht (PV)","2023",".",".",".","."
"Professionally","Population 6 years or older","Bike","Value","The Netherlands","2018","0.01","0.04","3","15"
"Professionally","Population 6 years or older","Bike","Value","The Netherlands","2019","0.01","0.05","5","19"
"Professionally","Population 6 years or older","Bike","Value","The Netherlands","2020","0.01","0.03","3","12"
"Professionally","Population 6 years or older","Bike","Value","The Netherlands","2021","0.01","0.04","4","15"
"Professionally","Population 6 years or older","Bike","Value","The Netherlands","2022","0.01","0.05","4","17"
"Professionally","Population 6 years or older","Bike","Value","The Netherlands","2023","0.01","0.05","4","18"
"Professionally","Population 6 years or older","Bike","Value","Utrecht (PV)","2018",".",".",".","."
"Professionally","Population 6 years or older","Bike","Value","Utrecht (PV)","2019",".",".",".","."
"Professionally","Population 6 years or older","Bike","Value","Utrecht (PV)","2020","0.01","0.04","4","14"
"Professionally","Population 6 years or older","Bike","Value","Utrecht (PV)","2021","0.01","0.04","3","13"
"Professionally","Population 6 years or older","Bike","Value","Utrecht (PV)","2022","0.01","0.05","5","20"
"Professionally","Population 6 years or older","Bike","Value","Utrecht (PV)","2023","0.01","0.07","4","26"
"Professionally","Population 6 years or older","Walking","Value","The Netherlands","2018","0.00","0.01","1","2"
"Professionally","Population 6 years or older","Walking","Value","The Netherlands","2019","0.00","0.01","1","3"
"Professionally","Population 6 years or older","Walking","Value","The Netherlands","2020","0.00","0.00","1","2"
"Professionally","Population 6 years or older","Walking","Value","The Netherlands","2021","0.00","0.01","1","2"
"Professionally","Population 6 years or older","Walking","Value","The Netherlands","2022","0.00","0.01","1","2"
"Professionally","Population 6 years or older","Walking","Value","The Netherlands","2023","0.00","0.01","1","3"
"Professionally","Population 6 years or older","Walking","Value","Utrecht (PV)","2018",".",".",".","."
"Professionally","Population 6 years or older","Walking","Value","Utrecht (PV)","2019",".",".",".","."
"Professionally","Population 6 years or older","Walking","Value","Utrecht (PV)","2020",".",".",".","."
"Professionally","Population 6 years or older","Walking","Value","Utrecht (PV)","2021",".",".",".","."
"Professionally","Population 6 years or older","Walking","Value","Utrecht (PV)","2022",".",".",".","."
"Professionally","Population 6 years or older","Walking","Value","Utrecht (PV)","2023",".",".",".","."
"Services/care","Population 6 years or older","Total","Value","The Netherlands","2018","0.09","0.83","31","302"
"Services/care","Population 6 years or older","Total","Value","The Netherlands","2019","0.09","0.73","31","267"
"Services/care","Population 6 years or older","Total","Value","The Netherlands","2020","0.07","0.61","26","224"
"Services/care","Population 6 years or older","Total","Value","The Netherlands","2021","0.09","0.74","32","271"
"Services/care","Population 6 years or older","Total","Value","The Netherlands","2022","0.09","0.72","33","263"
"Services/care","Population 6 years or older","Total","Value","The Netherlands","2023","0.09","0.74","32","272"
"Services/care","Population 6 years or older","Total","Value","Utrecht (PV)","2018","0.10","1.00","36","367"
"Services/care","Population 6 years or older","Total","Value","Utrecht (PV)","2019","0.09","0.80","31","292"
"Services/care","Population 6 years or older","Total","Value","Utrecht (PV)","2020","0.07","0.56","27","206"
"Services/care","Population 6 years or older","Total","Value","Utrecht (PV)","2021","0.10","0.81","36","294"
"Services/care","Population 6 years or older","Total","Value","Utrecht (PV)","2022","0.10","0.71","35","258"
"Services/care","Population 6 years or older","Total","Value","Utrecht (PV)","2023","0.08","0.80","31","291"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2018","0.03","0.41","12","151"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2019","0.03","0.38","12","140"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2020","0.03","0.36","11","133"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2021","0.04","0.42","13","153"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2022","0.04","0.42","13","154"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2023","0.03","0.42","13","153"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2018","0.04","0.54","13","199"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2019","0.03","0.37","10","133"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2020","0.03","0.37","11","136"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2021","0.04","0.45","13","165"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2022","0.03","0.42","11","154"
"Services/care","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2023","0.03","0.41","10","150"
"Services/care","Population 6 years or older","Train","Value","The Netherlands","2018","0.00","0.07","1","27"
"Services/care","Population 6 years or older","Train","Value","The Netherlands","2019",".",".",".","."
"Services/care","Population 6 years or older","Train","Value","The Netherlands","2020",".",".",".","."
"Services/care","Population 6 years or older","Train","Value","The Netherlands","2021",".",".",".","."
"Services/care","Population 6 years or older","Train","Value","The Netherlands","2022",".",".",".","."
"Services/care","Population 6 years or older","Train","Value","The Netherlands","2023","0.00",".","0","."
"Services/care","Population 6 years or older","Train","Value","Utrecht (PV)","2018",".",".",".","."
"Services/care","Population 6 years or older","Train","Value","Utrecht (PV)","2019",".",".",".","."
"Services/care","Population 6 years or older","Train","Value","Utrecht (PV)","2020",".",".",".","."
"Services/care","Population 6 years or older","Train","Value","Utrecht (PV)","2021",".",".",".","."
"Services/care","Population 6 years or older","Train","Value","Utrecht (PV)","2022",".",".",".","."
"Services/care","Population 6 years or older","Train","Value","Utrecht (PV)","2023",".",".",".","."
"Services/care","Population 6 years or older","Bike","Value","The Netherlands","2018","0.02","0.06","8","21"
"Services/care","Population 6 years or older","Bike","Value","The Netherlands","2019","0.02","0.06","8","22"
"Services/care","Population 6 years or older","Bike","Value","The Netherlands","2020","0.02","0.05","6","17"
"Services/care","Population 6 years or older","Bike","Value","The Netherlands","2021","0.02","0.07","8","24"
"Services/care","Population 6 years or older","Bike","Value","The Netherlands","2022","0.03","0.07","9","25"
"Services/care","Population 6 years or older","Bike","Value","The Netherlands","2023","0.02","0.06","8","23"
"Services/care","Population 6 years or older","Bike","Value","Utrecht (PV)","2018","0.03","0.08","10","30"
"Services/care","Population 6 years or older","Bike","Value","Utrecht (PV)","2019","0.03","0.07","11","25"
"Services/care","Population 6 years or older","Bike","Value","Utrecht (PV)","2020","0.02","0.05","8","19"
"Services/care","Population 6 years or older","Bike","Value","Utrecht (PV)","2021","0.03","0.09","11","32"
"Services/care","Population 6 years or older","Bike","Value","Utrecht (PV)","2022","0.04","0.10","13","38"
"Services/care","Population 6 years or older","Bike","Value","Utrecht (PV)","2023","0.03","0.08","9","28"
"Services/care","Population 6 years or older","Walking","Value","The Netherlands","2018","0.01","0.01","3","4"
"Services/care","Population 6 years or older","Walking","Value","The Netherlands","2019","0.01","0.01","3","3"
"Services/care","Population 6 years or older","Walking","Value","The Netherlands","2020","0.01","0.01","3","3"
"Services/care","Population 6 years or older","Walking","Value","The Netherlands","2021","0.01","0.01","4","4"
"Services/care","Population 6 years or older","Walking","Value","The Netherlands","2022","0.01","0.01","4","4"
"Services/care","Population 6 years or older","Walking","Value","The Netherlands","2023","0.01","0.01","4","4"
"Services/care","Population 6 years or older","Walking","Value","Utrecht (PV)","2018",".",".",".","."
"Services/care","Population 6 years or older","Walking","Value","Utrecht (PV)","2019",".",".",".","."
"Services/care","Population 6 years or older","Walking","Value","Utrecht (PV)","2020","0.01","0.01","4","4"
"Services/care","Population 6 years or older","Walking","Value","Utrecht (PV)","2021","0.01","0.01","4","5"
"Services/care","Population 6 years or older","Walking","Value","Utrecht (PV)","2022","0.02","0.01","6","5"
"Services/care","Population 6 years or older","Walking","Value","Utrecht (PV)","2023","0.01","0.01","4","5"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","The Netherlands","2018","0.56","3.13","206","1,141"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","The Netherlands","2019","0.54","3.13","199","1,142"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","The Netherlands","2020","0.55","2.48","202","908"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","The Netherlands","2021","0.56","2.59","205","944"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","The Netherlands","2022","0.58","2.85","212","1,041"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","The Netherlands","2023","0.58","3.05","213","1,113"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","Utrecht (PV)","2018","0.57","2.72","210","991"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","Utrecht (PV)","2019","0.55","2.76","199","1,009"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","Utrecht (PV)","2020","0.59","2.42","217","886"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","Utrecht (PV)","2021","0.59","2.59","215","945"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","Utrecht (PV)","2022","0.62","3.02","225","1,103"
"Shopping, groceries, funshopping.","Population 6 years or older","Total","Value","Utrecht (PV)","2023","0.61","2.92","223","1,067"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2018","0.20","1.52","71","554"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2019","0.20","1.52","72","556"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2020","0.20","1.37","74","500"
"Shopping, groceries, funshopping.","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2021","0.20","1.41","73","513"
