"Travel motives","Population","Travel modes","Margins","Region characteristics","Periods","Average per person per day Trips (number)","Distance travelled (passenger kilometres )","Average per person per year Trips (number)","Distance travelled (passenger kilometres )"
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","Utrecht (PV)","2018",".",".",".","."
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","Utrecht (PV)","2019",".",".",".","."
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","Utrecht (PV)","2020",".",".",".","."
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","Utrecht (PV)","2021",".",".",".","."
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","Utrecht (PV)","2022",".",".",".","."
"Shopping, groceries, funshopping.","Population 6 years or older","Train","Value","Utrecht (PV)","2023","0.01","0.23","3","85"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","The Netherlands","2018","0.17","0.35","61","129"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","The Netherlands","2019","0.16","0.33","57","121"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","The Netherlands","2020","0.15","0.31","57","114"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","The Netherlands","2021","0.15","0.30","53","109"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","The Netherlands","2022","0.17","0.36","63","132"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","The Netherlands","2023","0.16","0.34","59","124"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","Utrecht (PV)","2018","0.21","0.42","77","154"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","Utrecht (PV)","2019","0.20","0.36","73","132"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","Utrecht (PV)","2020","0.19","0.38","71","139"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","Utrecht (PV)","2021","0.19","0.37","68","135"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","Utrecht (PV)","2022","0.21","0.41","75","150"
"Shopping, groceries, funshopping.","Population 6 years or older","Bike","Value","Utrecht (PV)","2023","0.20","0.43","74","157"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","The Netherlands","2018","0.11","0.10","40","38"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","The Netherlands","2019","0.10","0.09","37","34"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","The Netherlands","2020","0.12","0.10","45","37"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","The Netherlands","2021","0.14","0.12","52","45"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","The Netherlands","2022","0.13","0.12","48","42"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","The Netherlands","2023","0.13","0.11","47","42"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","Utrecht (PV)","2018","0.12","0.11","43","41"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","Utrecht (PV)","2019","0.11","0.09","39","32"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","Utrecht (PV)","2020","0.15","0.11","54","41"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","Utrecht (PV)","2021","0.16","0.12","58","46"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","Utrecht (PV)","2022","0.16","0.13","57","48"
"Shopping, groceries, funshopping.","Population 6 years or older","Walking","Value","Utrecht (PV)","2023","0.15","0.13","54","46"
"Attending education/courses","Population 6 years or older","Total","Value","The Netherlands","2018","0.23","2.08","83","759"
"Attending education/courses","Population 6 years or older","Total","Value","The Netherlands","2019","0.22","2.05","81","750"
"Attending education/courses","Population 6 years or older","Total","Value","The Netherlands","2020","0.14","1.02","50","375"
"Attending education/courses","Population 6 years or older","Total","Value","The Netherlands","2021","0.14","1.17","52","426"
"Attending education/courses","Population 6 years or older","Total","Value","The Netherlands","2022","0.18","1.62","67","591"
"Attending education/courses","Population 6 years or older","Total","Value","The Netherlands","2023","0.18","1.67","67","608"
"Attending education/courses","Population 6 years or older","Total","Value","Utrecht (PV)","2018","0.25","2.22","90","810"
"Attending education/courses","Population 6 years or older","Total","Value","Utrecht (PV)","2019","0.23","1.82","85","665"
"Attending education/courses","Population 6 years or older","Total","Value","Utrecht (PV)","2020","0.15","1.08","54","394"
"Attending education/courses","Population 6 years or older","Total","Value","Utrecht (PV)","2021","0.16","1.28","57","466"
"Attending education/courses","Population 6 years or older","Total","Value","Utrecht (PV)","2022","0.20","1.59","73","579"
"Attending education/courses","Population 6 years or older","Total","Value","Utrecht (PV)","2023","0.20","1.61","74","589"
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2018","0.02","0.39","6","143"
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2019","0.01","0.37","5","136"
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2020","0.01","0.21","3","77"
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2021","0.01","0.23","3","86"
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2022","0.01","0.34","4","124"
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2023","0.01","0.34","4","122"
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2018",".",".",".","."
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2019",".",".",".","."
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2020",".",".",".","."
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2021",".",".",".","."
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2022",".",".",".","."
"Attending education/courses","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2023","0.01","0.24","4","87"
"Attending education/courses","Population 6 years or older","Train","Value","The Netherlands","2018","0.01","0.63","5","230"
"Attending education/courses","Population 6 years or older","Train","Value","The Netherlands","2019","0.02","0.66","6","239"
"Attending education/courses","Population 6 years or older","Train","Value","The Netherlands","2020","0.01","0.22","2","79"
"Attending education/courses","Population 6 years or older","Train","Value","The Netherlands","2021","0.01","0.28","3","101"
"Attending education/courses","Population 6 years or older","Train","Value","The Netherlands","2022","0.01","0.41","4","151"
"Attending education/courses","Population 6 years or older","Train","Value","The Netherlands","2023","0.01","0.48","4","175"
"Attending education/courses","Population 6 years or older","Train","Value","Utrecht (PV)","2018","0.01","0.54","5","198"
"Attending education/courses","Population 6 years or older","Train","Value","Utrecht (PV)","2019",".",".",".","."
"Attending education/courses","Population 6 years or older","Train","Value","Utrecht (PV)","2020",".",".",".","."
"Attending education/courses","Population 6 years or older","Train","Value","Utrecht (PV)","2021","0.01","0.34","3","122"
"Attending education/courses","Population 6 years or older","Train","Value","Utrecht (PV)","2022","0.01","0.46","4","167"
"Attending education/courses","Population 6 years or older","Train","Value","Utrecht (PV)","2023","0.01","0.53","5","193"
"Attending education/courses","Population 6 years or older","Bike","Value","The Netherlands","2018","0.12","0.43","44","158"
"Attending education/courses","Population 6 years or older","Bike","Value","The Netherlands","2019","0.12","0.42","42","154"
"Attending education/courses","Population 6 years or older","Bike","Value","The Netherlands","2020","0.08","0.26","27","97"
"Attending education/courses","Population 6 years or older","Bike","Value","The Netherlands","2021","0.07","0.26","27","96"
"Attending education/courses","Population 6 years or older","Bike","Value","The Netherlands","2022","0.09","0.35","35","127"
"Attending education/courses","Population 6 years or older","Bike","Value","The Netherlands","2023","0.09","0.36","34","133"
"Attending education/courses","Population 6 years or older","Bike","Value","Utrecht (PV)","2018","0.14","0.55","51","199"
"Attending education/courses","Population 6 years or older","Bike","Value","Utrecht (PV)","2019","0.14","0.50","50","183"
"Attending education/courses","Population 6 years or older","Bike","Value","Utrecht (PV)","2020","0.09","0.31","32","112"
"Attending education/courses","Population 6 years or older","Bike","Value","Utrecht (PV)","2021","0.09","0.35","34","126"
"Attending education/courses","Population 6 years or older","Bike","Value","Utrecht (PV)","2022","0.12","0.43","42","156"
"Attending education/courses","Population 6 years or older","Bike","Value","Utrecht (PV)","2023","0.12","0.44","42","162"
"Attending education/courses","Population 6 years or older","Walking","Value","The Netherlands","2018","0.03","0.04","11","14"
"Attending education/courses","Population 6 years or older","Walking","Value","The Netherlands","2019","0.03","0.04","11","14"
"Attending education/courses","Population 6 years or older","Walking","Value","The Netherlands","2020","0.02","0.02","7","7"
"Attending education/courses","Population 6 years or older","Walking","Value","The Netherlands","2021","0.02","0.03","8","9"
"Attending education/courses","Population 6 years or older","Walking","Value","The Netherlands","2022","0.03","0.03","10","13"
"Attending education/courses","Population 6 years or older","Walking","Value","The Netherlands","2023","0.03","0.04","10","13"
"Attending education/courses","Population 6 years or older","Walking","Value","Utrecht (PV)","2018","0.03","0.03","10","12"
"Attending education/courses","Population 6 years or older","Walking","Value","Utrecht (PV)","2019","0.03","0.03","9","11"
"Attending education/courses","Population 6 years or older","Walking","Value","Utrecht (PV)","2020","0.02","0.02","8","7"
"Attending education/courses","Population 6 years or older","Walking","Value","Utrecht (PV)","2021","0.02","0.03","7","10"
"Attending education/courses","Population 6 years or older","Walking","Value","Utrecht (PV)","2022","0.03","0.04","10","14"
"Attending education/courses","Population 6 years or older","Walking","Value","Utrecht (PV)","2023","0.03","0.03","10","12"
"Source: CBS."
